date,plan,exercise,weight,reps
2022-03-08,,Pull-Ups with Wide Overhand Grip Bodyweight,0,5
2022-03-08,,Pull-Ups with Wide Overhand Grip Bodyweight,0,5
2022-03-08,,Pull-Ups with Wide Overhand Grip Bodyweight,0,5
2022-03-08,,Chest-Supported Rows Wide Neutral Grip Machine,10,10
2022-03-08,,Chest-Supported Rows Wide Neutral Grip Machine,15,10
2022-03-08,,Chest-Supported Rows Wide Neutral Grip Machine,20,10
2022-03-08,,Lat Pulldowns with Close Parallel Grip Cable,52,10
2022-03-08,,Lat Pulldowns with Close Parallel Grip Cable,45,10
2022-03-08,,Lat Pulldowns with Close Parallel Grip Cable,41,10
2022-03-08,,Lateral Raises Dumbbells;1 dropset,8,15
2022-03-08,,Lateral Raises Dumbbells;1 dropset,6,15
2022-03-08,,Lateral Raises Dumbbells;1 dropset,4,15
2022-03-06,,Bench Press Barbell,60,8
2022-03-06,,Bench Press Barbell,70,6
2022-03-06,,Bench Press Barbell,65,8
2022-03-06,,Bench Press Barbell,65,6
2022-03-06,,Bench Press Barbell,60,11
2022-03-06,,Deadlifts Barbell,100,5
2022-03-06,,Deadlifts Barbell,120,5
2022-03-06,,Deadlifts Barbell,140,5
2022-03-06,,Standing Shoulder Press Barbell,35,8
2022-03-06,,Standing Shoulder Press Barbell,40,6
2022-03-06,,Standing Shoulder Press Barbell,40,3
2022-03-03,,Bench Press Barbell,60,6
2022-03-03,,Bench Press Barbell,70,3
2022-03-03,,Bench Press Barbell,60,8
2022-03-03,,Skull Crushers EZ bar,20,12
2022-03-03,,Skull Crushers EZ bar,20,12
2022-03-03,,Skull Crushers EZ bar,20,12
2022-03-03,,Incline Bench Press Dumbbells,16,10
2022-03-03,,Incline Bench Press Dumbbells,18,10
2022-03-03,,Incline Bench Press Dumbbells,20,10
2022-03-03,,Tricep Pushdowns Cable,17,15
2022-03-03,,Tricep Pushdowns Cable,17,15
2022-03-03,,High Cable Flys Cable,10,12
2022-03-03,,High Cable Flys Cable,10,15
2022-03-02,,Leg Press Machine,100,10
2022-03-02,,Leg Press Machine,150,10
2022-03-02,,Leg Press Machine,150,12
2022-03-02,,Leg Extensions Machine,66,10
2022-03-02,,Lying Leg Curls Machine,45,10
2022-03-02,,Lying Leg Curls Machine,48,10
2022-03-02,,Lying Leg Curls Machine,45,10
2022-03-02,,Seated Calf Raises Machine,59,12
2022-03-02,,Seated Calf Raises Machine,66,12
2022-03-02,,Seated Calf Raises Machine,73,15
2022-02-27,,Bench Press Barbell,60,8
2022-02-27,,Bench Press Barbell,70,5
2022-02-27,,Bench Press Barbell,70,5
2022-02-27,,Bench Press Barbell,60,8
2022-02-27,,Bench Press Barbell,60,5
2022-02-27,,Deadlifts Barbell,100,5
2022-02-27,,Deadlifts Barbell,120,5
2022-02-27,,Deadlifts Barbell,140,5
2022-02-27,,Deadlifts Barbell,150,3
2022-02-27,,Deadlifts Barbell,100,5
2022-02-27,,Standing Shoulder Press Barbell,40,6
2022-02-27,,Standing Shoulder Press Barbell,45,3
2022-02-27,,Standing Shoulder Press Barbell,40,5
2022-02-27,,Pull-Ups with Wide Overhand Grip Bodyweight,0,5
2022-02-27,,Pull-Ups with Wide Overhand Grip Bodyweight,0,5
2022-02-27,,Pull-Ups with Wide Overhand Grip Bodyweight,0,5
2022-02-24,,Bench Press Dumbbells,20,8
2022-02-24,,Bench Press Dumbbells,24,8
2022-02-24,,Bench Press Dumbbells,28,5
2022-02-24,,Bench Press Dumbbells,30,5
2022-02-24,,Bench Press Dumbbells,22,12
2022-02-24,,High Cable Flys Cable,10,15
2022-02-24,,High Cable Flys Cable,10,15
2022-02-24,,High Cable Flys Cable,10,15
2022-02-24,,Assisted Chest Dips Machine,0,7
2022-02-24,,Tricep Pushdowns Cable,17,10
2022-02-24,,Tricep Pushdowns Cable,17,15
2022-02-22,,Leg Press Machine,100,10
2022-02-22,,Leg Press Machine,150,10
2022-02-22,,Leg Press Machine,150,10
2022-02-22,,Leg Extensions Machine,66,10
2022-02-22,,Hack Squats Machine,20,10
2022-02-22,,Hack Squats Machine,30,10
2022-02-22,,Hack Squats Machine,30,10
2022-02-22,,Standing Calf Raises Machine,50,10
2022-02-22,,Standing Calf Raises Machine,90,10
2022-02-22,,Standing Calf Raises Machine,110,10
2022-02-17,,Bench Press Barbell,60,5
2022-02-17,,Bench Press Barbell,70,4
2022-02-17,,Bench Press Barbell,65,5
2022-02-17,,Bench Press Barbell,65,5
2022-02-17,,Bench Press Barbell,60,6
2022-02-17,,Skull Crushers EZ bar,25,10
2022-02-17,,Incline Bench Press Dumbbells,18,10
2022-02-17,,Incline Bench Press Dumbbells,20,8
2022-02-17,,Incline Bench Press Dumbbells,20,5
2022-02-17,,Overhead Tricep Extensions Cable,17,12
2022-02-17,,Overhead Tricep Extensions Cable,17,10
2022-02-17,,High Cable Flys Cable,10,10
2022-02-17,,High Cable Flys Cable,10,10
2022-02-17,,High Cable Flys Cable,10,10
2022-02-16,,Leg Press Machine,100,15
2022-02-16,,Leg Press Machine,150,10
2022-02-16,,Leg Press Machine,150,10
2022-02-16,,Lying Leg Curls Machine,45,10
2022-02-16,,Lying Leg Curls Machine,48,8
2022-02-16,,Lying Leg Curls Machine,45,10
2022-02-16,,Hack Squats Machine,20,10
2022-02-16,,Hack Squats Machine,20,10
2022-02-16,,Hack Squats Machine,20,10
2022-02-16,,Standing Calf Raises Machine,50,10
2022-02-16,,Standing Calf Raises Machine,80,10
2022-02-16,,Standing Calf Raises Machine,100,10
2022-02-16,,Leg Extensions Machine,59,10
2022-02-16,,Leg Extensions Machine,66,10
2022-02-16,,Leg Extensions Machine,66,10
2022-02-09,,Bench Press Barbell,60,5
2022-02-09,,Bench Press Barbell,70,5
2022-02-09,,Bench Press Barbell,70,5
2022-02-09,,Bench Press Barbell,65,5
2022-02-09,,Bench Press Barbell,60,5
2022-02-09,,Incline Bench Press Dumbbells,24,5
2022-02-09,,Incline Bench Press Dumbbells,20,8
2022-02-09,,Incline Bench Press Dumbbells,20,8
2022-02-09,,Overhead Tricep Extensions Cable,19,8
2022-02-09,,Overhead Tricep Extensions Cable,17,10
2022-02-09,,High Cable Flys Cable,10,10
2022-02-09,,High Cable Flys Cable,10,15
2022-02-08,,Hanging Leg Raises Bodyweight,0,10
2022-02-08,,Hanging Leg Raises Bodyweight,0,8
2022-02-08,,Hanging Leg Raises Bodyweight,0,8
2022-02-08,,Standing Russian Twists Cable,17,10
2022-02-08,,Standing Russian Twists Cable,19,10
2022-02-08,,Leg Raises Bodyweight,0,12
2022-02-08,,Leg Raises Bodyweight,0,12
2022-02-08,,Leg Raises Bodyweight,0,12
2022-02-08,,Crunch Machine Machine,45,10
2022-02-08,,Crunch Machine Machine,50,10
2022-02-08,,Crunch Machine Machine,56,10
2022-02-02,,Bench Press Barbell,70,3
2022-02-02,,Bench Press Barbell,70,3
2022-02-02,,Bench Press Barbell,60,6
2022-02-02,,Skull Crushers EZ bar,15,15
2022-02-02,,Skull Crushers EZ bar,20,12
2022-02-02,,Incline Bench Press Dumbbells,24,8
2022-02-02,,Incline Bench Press Dumbbells,28,8
2022-02-02,,Incline Bench Press Dumbbells,24,8
2022-02-02,,Overhead Tricep Extensions Cable,19,10
2022-02-02,,Overhead Tricep Extensions Cable,19,10
2022-02-02,,Overhead Tricep Extensions Cable,14,10
2022-02-02,,High Cable Flys Cable,8,15
2022-02-02,,High Cable Flys Cable,8,15
2022-01-23,,Bench Press Barbell,60,8
2022-01-23,,Bench Press Barbell,70,5
2022-01-23,,Bench Press Barbell,70,5
2022-01-23,,Bench Press Barbell,70,4
2022-01-23,,Bench Press Barbell,60,8
2022-01-23,,Deadlifts Barbell,110,5
2022-01-23,,Deadlifts Barbell,130,5
2022-01-23,,Deadlifts Barbell,140,5
2022-01-23,,Deadlifts Barbell,150,2
2022-01-23,,Deadlifts Barbell,120,10
2022-01-23,,Standing Shoulder Press Barbell,40,6
2022-01-21,,Leg Press Machine,100,15
2022-01-21,,Leg Press Machine,150,15
2022-01-21,,Leg Press Machine,150,15
2022-01-21,,Lying Leg Curls Machine,45,10
2022-01-21,,Lying Leg Curls Machine,45,10
2022-01-21,,Lying Leg Curls Machine,36,10
2022-01-21,,Hack Squats Machine,45,4
2022-01-21,,Hack Squats Machine,20,10
2022-01-21,,Hack Squats Machine,20,10
2022-01-21,,Leg Extensions Machine,59,10
2022-01-21,,Leg Extensions Machine,59,10
2022-01-21,,Leg Extensions Machine,59,10
2022-01-19,,Bench Press Barbell,60,8
2022-01-19,,Bench Press Barbell,60,8
2022-01-19,,Bench Press Barbell,50,8
2022-01-19,,Skull Crushers EZ bar,20,10
2022-01-19,,Skull Crushers EZ bar,20,10
2022-01-19,,Incline Bench Press Dumbbells,22,10
2022-01-19,,Incline Bench Press Dumbbells,24,10
2022-01-19,,Incline Bench Press Dumbbells,24,10
2022-01-19,,Tricep Pushdowns Cable,17,15
2022-01-19,,Tricep Pushdowns Cable,17,12
2022-01-19,,High Cable Flys Cable,10,12
2022-01-19,,High Cable Flys Cable,10,12
2022-01-18,,Hanging Leg Raises Bodyweight,0,10
2022-01-18,,Hanging Leg Raises Bodyweight,0,10
2022-01-18,,Hanging Leg Raises Bodyweight,0,10
2022-01-18,,Standing Russian Twists Cable,17,10
2022-01-18,,Standing Russian Twists Cable,19,10
2022-01-18,,Leg Raises Bodyweight,0,10
2022-01-18,,Leg Raises Bodyweight,0,10
2022-01-18,,Leg Raises Bodyweight,0,10
2022-01-18,,Crunch Machine Machine,48,10
2022-01-18,,Crunch Machine Machine,56,10
2022-01-18,,Crunch Machine Machine,56,10
2022-01-16,,Bench Press Barbell,60,6
2022-01-16,,Bench Press Barbell,70,5
2022-01-16,,Bench Press Barbell,75,3
2022-01-16,,Bench Press Barbell,70,5
2022-01-16,,Bench Press Barbell,60,10
2022-01-16,,Deadlifts Barbell,110,5
2022-01-16,,Deadlifts Barbell,130,5
2022-01-16,,Deadlifts Barbell,150,2
2022-01-16,,Deadlifts Barbell,130,8
2022-01-16,,Deadlifts Barbell,140,3
2022-01-16,,Standing Shoulder Press Barbell,40,6
2022-01-16,,Standing Shoulder Press Barbell,40,6
2022-01-16,,Standing Shoulder Press Barbell,40,6
2022-01-12,,Leg Press Machine,100,15
2022-01-12,,Leg Press Machine,150,15
2022-01-12,,Leg Press Machine,140,20
2022-01-12,,Lying Leg Curls Machine,44,10
2022-01-12,,Lying Leg Curls Machine,45,10
2022-01-12,,Lying Leg Curls Machine,41,10
2022-01-12,,Leg Extensions Machine,59,10
2022-01-12,,Leg Extensions Machine,66,10
2022-01-12,,Leg Extensions Machine,73,10
2022-01-11,,Bench Press Barbell,50,5
2022-01-11,,Bench Press Barbell,60,5
2022-01-11,,Bench Press Barbell,70,5
2022-01-11,,Bench Press Barbell,70,4
2022-01-11,,Bench Press Barbell,70,4
2022-01-11,,Incline Bench Press Dumbbells,20,10
2022-01-11,,Incline Bench Press Dumbbells,22,7
2022-01-11,,Incline Bench Press Dumbbells,20,7
2022-01-10,,Hanging Leg Raises Bodyweight,0,10
2022-01-10,,Hanging Leg Raises Bodyweight,0,10
2022-01-10,,Hanging Leg Raises Bodyweight,0,10
2022-01-10,,Standing Russian Twists Cable,14,10
2022-01-10,,Standing Russian Twists Cable,17,10
2022-01-10,,Standing Russian Twists Cable,19,10
2022-01-10,,Standing Russian Twists Cable,10,10
2022-01-10,,Standing Russian Twists Cable,10,10
2022-01-10,,Standing Russian Twists Cable,10,10
2022-01-10,,Leg Raises Bodyweight,0,10
2022-01-10,,Leg Raises Bodyweight,0,12
2022-01-10,,Leg Raises Bodyweight,0,12
2022-01-10,,Crunch Machine Machine,45,10
2022-01-10,,Crunch Machine Machine,54,10
2022-01-10,,Crunch Machine Machine,56,10
2021-12-29,,Bench Press Barbell,40,8
2021-12-29,,Bench Press Barbell,60,8
2021-12-29,,Bench Press Barbell,80,1
2021-12-29,,Bench Press Barbell,60,7
2021-12-29,,Bench Press Barbell,60,10
2021-12-29,,Deadlifts Barbell,80,8
2021-12-29,,Deadlifts Barbell,100,5
2021-12-29,,Deadlifts Barbell,120,5
2021-12-29,,Deadlifts Barbell,130,5
2021-12-29,,Deadlifts Barbell,140,5
2021-12-29,,Deadlifts Barbell,150,5
2021-12-22,,Decline Bench Press Smith machine,50,8
2021-12-22,,Decline Bench Press Smith machine,60,8
2021-12-22,,Decline Bench Press Smith machine,60,8
2021-12-22,,Decline Bench Press Smith machine,60,8
2021-12-22,,Decline Bench Press Smith machine,60,8
2021-12-21,,Hanging Leg Raises Bodyweight,0,10
2021-12-21,,Hanging Leg Raises Bodyweight,0,10
2021-12-21,,Hanging Leg Raises Bodyweight,0,10
2021-12-21,,Standing Russian Twists Cable,14,10
2021-12-21,,Standing Russian Twists Cable,17,10
2021-12-21,,Standing Russian Twists Cable,19,10
2021-12-21,,Standing Russian Twists Cable,10,10
2021-12-21,,Standing Russian Twists Cable,10,10
2021-12-21,,Standing Russian Twists Cable,10,10
2021-12-21,,Crunch Machine Machine,45,10
2021-12-21,,Crunch Machine Machine,54,10
2021-12-21,,Crunch Machine Machine,56,10
2021-12-19,,Bench Press Barbell,50,8
2021-12-19,,Bench Press Barbell,60,5
2021-12-19,,Bench Press Barbell,70,5
2021-12-19,,Bench Press Barbell,70,5
2021-12-19,,Bench Press Barbell,60,10
2021-12-19,,Deadlifts Barbell,80,8
2021-12-19,,Deadlifts Barbell,100,5
2021-12-19,,Deadlifts Barbell,120,5
2021-12-19,,Deadlifts Barbell,140,5
2021-12-19,,Deadlifts Barbell,140,5
2021-12-19,,Standing Shoulder Press Barbell,35,5
2021-12-19,,Standing Shoulder Press Barbell,35,8
2021-12-19,,Standing Shoulder Press Barbell,35,5
2021-12-19,,Pull-Ups with Wide Overhand Grip Bodyweight,0,6
2021-12-19,,Pull-Ups with Wide Overhand Grip Bodyweight,0,6
2021-12-19,,Pull-Ups with Wide Overhand Grip Bodyweight,0,6
2021-12-08,,Decline Bench Press Smith machine,50,10
2021-12-08,,Decline Bench Press Smith machine,60,8
2021-12-08,,Decline Bench Press Smith machine,60,8
2021-12-08,,Decline Bench Press Smith machine,60,10
2021-12-08,,Decline Bench Press Smith machine,60,10
2021-12-08,,Overhead Tricep Extensions Cable,19,10
2021-12-08,,Overhead Tricep Extensions Cable,19,8
2021-12-08,,Overhead Tricep Extensions Cable,17,10
2021-12-08,,Incline Bench Press Dumbbells,20,10
2021-12-08,,Incline Bench Press Dumbbells,20,10
2021-12-08,,Incline Bench Press Dumbbells,20,6
2021-12-06,,Hanging Leg Raises Bodyweight,0,8
2021-12-06,,Hanging Leg Raises Bodyweight,0,10
2021-12-06,,Hanging Leg Raises Bodyweight,0,10
2021-12-06,,Standing Russian Twists Cable,17,10
2021-12-06,,Standing Russian Twists Cable,17,10
2021-12-06,,Standing Russian Twists Cable,17,10
2021-12-06,,Standing Russian Twists Cable,10,10
2021-12-06,,Standing Russian Twists Cable,10,10
2021-12-06,,Standing Russian Twists Cable,10,10
2021-12-06,,Leg Raises Bodyweight,0,10
2021-12-06,,Leg Raises Bodyweight,0,12
2021-12-06,,Leg Raises Bodyweight,0,12
2021-12-01,,Bench Press Barbell,60,8
2021-12-01,,Bench Press Barbell,65,8
2021-12-01,,Bench Press Barbell,65,5
2021-12-01,,Bench Press Barbell,65,5
2021-12-01,,Bench Press Barbell,60,8
2021-12-01,,Overhead Tricep Extensions Cable,19,10
2021-12-01,,Overhead Tricep Extensions Cable,17,12
2021-12-01,,Overhead Tricep Extensions Cable,14,15
2021-11-28,,Bench Press Barbell,50,8
2021-11-28,,Bench Press Barbell,60,5
2021-11-28,,Bench Press Barbell,65,5
2021-11-28,,Bench Press Barbell,65,5
2021-11-28,,Bench Press Barbell,70,4
2021-11-28,,Deadlifts Barbell,100,8
2021-11-28,,Deadlifts Barbell,120,5
2021-11-28,,Deadlifts Barbell,140,5
2021-11-28,,Deadlifts Barbell,140,3
2021-11-28,,Deadlifts Barbell,120,8
2021-11-28,,Standing Shoulder Press Barbell,30,8
2021-11-28,,Standing Shoulder Press Barbell,40,5
2021-11-28,,Standing Shoulder Press Barbell,40,8
2021-11-28,,Standing Shoulder Press Barbell,40,5
2021-11-28,,Pull-Ups with Wide Overhand Grip Bodyweight,0,6
2021-11-28,,Pull-Ups with Wide Overhand Grip Bodyweight,0,6
2021-11-28,,Pull-Ups with Wide Overhand Grip Bodyweight,0,6
2021-11-24,,Bench Press Barbell,60,8
2021-11-24,,Bench Press Barbell,65,7
2021-11-24,,Bench Press Barbell,60,5
2021-11-24,,Bench Press Barbell,50,12
2021-11-24,,Overhead Tricep Extensions Cable,17,10
2021-11-24,,Overhead Tricep Extensions Cable,17,10
2021-11-24,,Overhead Tricep Extensions Cable,14,12
2021-11-24,,Incline Bench Press Dumbbells,16,10
2021-11-24,,Incline Bench Press Dumbbells,18,12
2021-11-24,,Incline Bench Press Dumbbells,18,12
2021-11-24,,Tricep Pushdowns Cable,17,10
2021-11-24,,Flys Cable,10,15
2021-11-23,,Leg Press Machine,100,15
2021-11-23,,Leg Press Machine,140,15
2021-11-23,,Leg Press Machine,140,15
2021-11-23,,Lying Leg Curls Machine,43,8
2021-11-23,,Lying Leg Curls Machine,45,8
2021-11-23,,Lying Leg Curls Machine,45,8
2021-11-23,,Leg Extensions Machine,66,8
2021-11-23,,Leg Extensions Machine,73,8
2021-11-23,,Leg Extensions Machine,73,8
2021-11-22,,Hanging Leg Raises Bodyweight,0,10
2021-11-22,,Hanging Leg Raises Bodyweight,0,10
2021-11-22,,Hanging Leg Raises Bodyweight,0,10
2021-11-22,,Standing Russian Twists Cable,17,10
2021-11-22,,Standing Russian Twists Cable,17,10
2021-11-22,,Leg Raises Bodyweight,45,8
2021-11-22,,Leg Raises Bodyweight,45,10
2021-11-22,,Leg Raises Bodyweight,45,10
2021-11-22,,Crunch Machine Machine,45,10
2021-11-22,,Crunch Machine Machine,54,10
2021-11-22,,Crunch Machine Machine,56,10
2021-11-22,,Lateral Raises Dumbbells,8,10
2021-11-22,,Lateral Raises Dumbbells,6,15
2021-11-22,,Lateral Raises Dumbbells,4,15
2021-11-22,,Lateral Raises Dumbbells,4,10
